npcid_XBXXZ	type_XBXXZ	name_XBXXZ	race_XBXXZ	level_XBXXZ	damage_XBXXZ	defence_XBXXZ	aspeed_XBXXZ	maxhp_XBXXZ	reputation_XBXXZ	deathreputation_XBXXZ	pkscore_XBXXZ	drop_XBXXZ
1191	2	幽冥魔王	1	141	518400	0	180	7200000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	708:1-1:10000:1;709:1-1:5000:1;710:1-1:1000:1;38:20-100:10000:1;
1192	1	逃窜的厉鬼	1	101	144000	0	180	576000	1	1000	遇见我算你运气好，打败我送你个宝贝！	817:1-2:10000:1;
1193	1	昆仑小妖	1	71	30000	0	200	200000	1	1000	既然是送上门的食物，我就不客气了！	38:10-50:10000:1;303:1-1:100:1;1014:1-1:1000:1;1015:1-1:1000:1;1016:1-1:1000:1;1017:1-1:1000:1;70:1-1:1000:1;74:1-1:1000:1;
1194	1	昆仑小恶魔	2	71	30000	0	200	200000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	38:10-50:10000:1;303:1-1:100:1;1014:1-1:1000:1;1015:1-1:1000:1;1016:1-1:1000:1;1017:1-1:1000:1;70:1-1:1000:1;74:1-1:1000:1;
1195	1	昆仑游魂	3	71	30000	0	200	200000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	38:10-50:10000:1;303:1-1:100:1;1014:1-1:1000:1;1015:1-1:1000:1;1016:1-1:1000:1;1017:1-1:1000:1;70:1-1:1000:1;74:1-1:1000:1;
1196	2	昆仑妖王	1	101	100000	0	180	5000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	38:100-500:10000:1;303:1-1:100:1;1014:1-1:1000:1;1015:1-1:1000:1;1016:1-1:1000:1;1017:1-1:1000:1;70:1-1:1000:1;74:1-1:1000:1;
1197	2	昆仑魔王	2	121	500000	0	180	8000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	38:500-8000:10000:1;303:1-1:100:1;1014:1-1:1000:1;1015:1-1:1000:1;1016:1-1:1000:1;1017:1-1:1000:1;70:1-1:1000:1;74:1-1:1000:1;
1198	2	蛊雕王	1	121	150000	0	180	1600000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1199	2	力敖王	1	121	155000	0	180	1800000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1200	2	苍猿王	1	121	160000	0	180	2000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1201	2	银狼王	1	121	165000	0	180	2200000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1202	2	偷蛋老魔	2	131	200000	0	220	2500000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1203	2	偷蛋魅魔	2	131	210000	0	240	2500000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1204	2	偷蛋魔头	2	131	220000	0	230	2500000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1205	2	偷蛋魔姬	2	131	250000	0	220	3000000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1206	2	偷蛋魔将	2	131	260000	0	240	3000000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1207	2	偷蛋天魔	2	131	270000	0	230	3000000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1208	2	火鸦王	1	141	300000	0	180	5000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1209	2	蒲牢王	1	141	320000	0	180	5000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1210	2	疾风王	1	141	340000	0	180	5000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1211	2	紫金熊王	1	141	360000	0	180	5000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1212	1	逃窜的小鬼	1	101	100000	0	180	400000	1	1000	遇见我算你运气好，打败我送你个宝贝！	
1213	2	骷髅勇士王	1	121	432000	0	180	5184000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1214	2	拘魂骷髅王	1	121	449280	0	180	5184000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1215	2	九幽厉鬼王	1	121	466560	0	180	5184000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1216	2	寒冰大使者	1	121	518400	0	180	8640000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1217	2	盗蛋老魔	2	131	552960	0	220	8640000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1218	2	盗蛋魅魔	2	131	587520	0	240	8640000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1219	2	盗蛋魔头	2	131	622080	0	230	8640000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1220	2	盗蛋魔姬	2	131	172800	0	220	691200	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1221	2	盗蛋魔将	2	131	36000	0	240	240000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1222	2	盗蛋天魔	2	131	36000	0	230	240000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1223	2	白无常首领	1	141	36000	0	180	240000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1224	2	大青莲尸王	1	141	120000	0	180	6000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1225	2	大青莲鬼王	1	141	600000	0	180	9600000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1226	2	无间噬魂王	1	141	180000	0	180	1920000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1227	1	逃窜的恶鬼	1	101	186000	0	180	2160000	1	1000	遇见我算你运气好，打败我送你个宝贝！	
1228	2	牛魔王	1	121	192000	0	180	2400000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1229	2	角魔王	1	121	198000	0	180	2640000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1230	2	噬焰魔王	1	121	240000	0	180	3000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1231	2	狮魔王	1	121	252000	0	180	3000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1232	2	抢蛋老魔	2	131	264000	0	220	3000000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1233	2	抢蛋魅魔	2	131	300000	0	240	3600000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1234	2	抢蛋魔头	2	131	312000	0	230	3600000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1235	2	抢蛋魔姬	2	131	324000	0	220	3600000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1236	2	抢蛋魔将	2	131	360000	0	240	6000000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1237	2	抢蛋天魔	2	131	384000	0	230	6000000	1	1000	可恶，居然被发现了！快点滚蛋，别多管闲事！	
1238	2	杀魔王	1	141	408000	0	180	6000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1239	2	地狱犬王	1	141	432000	0	180	6000000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1240	2	呼啸者王	1	141	120000	0	180	480000	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1241	2	幽冥魔王	1	141	518400	0	180	6220800	1	1000	站住！不能再往前走了！现在离开还可以饶你一命！	
1242	1	逃窜的厉鬼	1	101	539136	0	180	6220800	1	1000	遇见我算你运气好，打败我送你个宝贝！	
1501	1	白骨守卫	3	98	122000	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:6-25:10000:1;
1502	1	骸骨守卫	3	98	124000	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:8-27:10000:1;
1503	1	妖骨守卫	3	98	541136	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:10-29:10000:1;
1504	1	仙骨守卫	3	98	543136	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:12-30:10000:1;
1505	2	白骨王	3	98	126000	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:300-500:10000:1;
1506	2	骸骨王	3	98	128000	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:400-600:10000:1;
1507	2	妖骨王	3	98	545136	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:500-800:10000:1;
1508	2	仙骨王	3	98	547136	0	133	17490	1	133	咱们就不能好好谈谈吗？动手有意思吗？	54:800-1000:10000:1;
2001	2	灵山守卫	1	50	12000	0	50	120000	1	50	站住！不能再往前走了！现在离开还可以饶你一命！	54:50-50:10000:1;38:10-13:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2002	2	灵山守卫	2	50	25000	0	60	200000	1	60	站住！不能再往前走了！现在离开还可以饶你一命！	54:60-60:10000:1;38:10-13:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2003	2	灵山守卫	3	60	40000	0	80	800000	1	100	站住！不能再往前走了！现在离开还可以饶你一命！	54:100-100:10000:1;38:10-20:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2004	2	灵山守卫	3	70	80000	0	100	1020000	1	180	站住！不能再往前走了！现在离开还可以饶你一命！	54:180-180:10000:1;38:10-30:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2005	2	灵山守卫	2	80	102000	0	180	2040000	1	220	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2006	2	灵山守卫	2	90	188000	0	220	3880000	1	440	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2007	2	灵山守卫	2	90	576000	0	240	9760000	1	880	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2008	2	灵山守卫	2	90	1952000	0	230	19520000	1	1760	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2009	2	灵山守卫	2	90	3904000	0	230	39040000	1	3520	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2010	2	灵山守卫	2	90	9808000	0	230	98080000	1	7040	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2011	2	灵山守卫	2	90	11616000	0	230	116160000	1	14080	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2012	2	灵山守卫	2	90	63232000	0	230	632320000	1	28160	站住！不能再往前走了！现在离开还可以饶你一命！	54:200-200:10000:1;38:10-40:10000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;74:1-1:50:1;75:1-1:10:1;
2013	1	乌游蛇	1	50	15000	0	100	150000	1	200	不要欺人太甚！妖也是有火气的！	
2014	1	穿天猴	1	55	16500	0	100	165000	1	200	咱们就不能好好谈谈吗？动手有意思吗？	
2015	1	黑甲妖	1	60	18000	0	100	180000	1	200	不要欺人太甚！妖也是有火气的！	
2016	1	闪电貂	1	65	19500	0	100	195000	1	200	咱们就不能好好谈谈吗？动手有意思吗？	
2017	1	食蛇貂	1	70	21000	0	100	210000	1	200	不要欺人太甚！妖也是有火气的！	
2018	1	乌游王蛇	1	75	22500	0	100	225000	1	200	咱们就不能好好谈谈吗？动手有意思吗？	
2019	1	骄虫飞奴	1	80	24000	0	100	240000	1	200	哈哈哈哈，来了个不要命的蝼蚁！	
2020	1	迷魅之花	1	85	25500	0	100	255000	1	200	呵呵~你敢动手试试？	
2021	1	妖牛喽罗	1	90	27000	0	100	270000	1	200	不要命的话，你就来吧！	
2022	1	妖牛随从	1	95	28500	0	100	285000	1	200	不自量力的家伙，你是赶来送死的吗？	
2023	2	荒野魔蛭	2	50	15000	0	100	150000	1	200	你厉害，这总可以了吧！别打了！	
2024	2	高原魔蛭	2	55	16500	0	100	165000	1	200	别杀我，我爷爷是大妖王	
2025	2	近水魔蛭	2	60	18000	0	100	180000	1	200	别动手，有话好好说！	
2026	2	荒野魔猿	2	65	19500	0	100	195000	1	200	你厉害，这总可以了吧！别打了！	
2027	2	高原魔猿	2	70	21000	0	100	210000	1	200	别杀我，我爷爷是大妖王	
2028	2	近水魔猿	2	75	22500	0	100	225000	1	200	别动手，有话好好说！	
2029	2	黑斑魔蝎	2	80	24000	0	100	240000	1	200	你厉害，这总可以了吧！别打了！	
2030	2	黑纹魔蝎	2	85	25500	0	100	255000	1	200	别杀我，我爷爷是大妖王	
2031	2	黑花魔蝎	2	90	27000	0	100	270000	1	200	别动手，有话好好说！	
2032	2	白毛魔牛	2	95	28500	0	100	285000	1	200	给我个机会，我也想做个好妖！	
2033	1	游荡火死巫	3	50	15000	0	100	150000	1	200	给我个机会，我也想做个好妖！	
2034	1	流浪火死巫	3	55	16500	0	100	165000	1	200	上仙饶命，放过的小的一马！	
2035	1	行脚火死巫	3	60	18000	0	100	180000	1	200	上仙饶命！上仙饶命！上仙饶命！	
2036	1	溃兵骷髅	3	65	19500	0	100	195000	1	200	呜呜呜……饶命啊！	
2037	1	逃兵骷髅	3	70	21000	0	100	210000	1	200	说吧，你打算在自己的墓碑上刻上什么字？	
2038	1	含悲山鬼	3	75	22500	0	100	225000	1	200	脖子洗干净了吗？	
2039	1	屠夫遗骨	3	80	24000	0	100	240000	1	200	哈哈哈！你是来送死的吗？	
2040	1	逃兵枯骨	3	85	25500	0	100	255000	1	200	哈哈哈哈，来了个不要命的蝼蚁！	
2041	1	荒野幽魂	3	90	27000	0	100	270000	1	200	呵呵~你敢动手试试？	
2042	1	护卫鬼火	3	95	28500	0	100	285000	1	200	不要欺人太甚！妖也是有火气的！	
2043	2	药田妖王	1	90	988000	0	220	9880000	1	440	快退下，此处不是你能闯的地方！	
2044	2	药田鬼王	3	90	1976000	0	240	19760000	1	880	快退下，此处不是你能闯的地方！	
2045	2	药田魔王	2	90	3952000	0	230	39520000	1	1760	快退下，此处不是你能闯的地方！	
3001	2	一层守卫	1	80	60000	0	100	600000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3002	2	一层守卫	1	80	60000	0	100	600000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3003	2	一层守卫长	2	80	80000	0	100	2000000	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
3004	2	一层守卫	4	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3005	2	一层守卫	4	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3006	2	一层守卫	3	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3007	2	一层守卫	3	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3008	2	一层守卫	1	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3009	2	一层守卫	1	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3010	2	二层守卫	1	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3011	2	二层守卫	1	90	90000	0	100	900000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3012	2	二层守卫	1	90	90000	0	100	900000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3013	2	二层守卫长	2	90	120000	0	100	3000000	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
3014	2	二层守卫	4	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3015	2	二层守卫	4	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3016	2	二层守卫	3	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3017	2	二层守卫	3	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3018	2	二层守卫	1	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3019	2	二层守卫	1	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3020	2	二层守卫	1	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3021	2	三层守卫	1	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3022	2	三层守卫	1	100	135000	0	100	1350000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3023	2	三层守卫长	1	100	270000	0	100	34500000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3024	2	三层守卫	2	100	135000	0	100	1350000	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
3025	2	三层守卫	4	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3026	2	三层守卫	4	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3027	2	三层守卫	3	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3028	2	三层守卫	3	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3029	2	三层守卫	1	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3030	2	三层守卫	1	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3031	2	一层守卫	1	80	60000	0	100	600000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3032	2	一层守卫	1	80	60000	0	100	600000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3033	2	一层守卫长	2	80	80000	0	100	2000000	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
3034	2	一层守卫	4	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3035	2	一层守卫	4	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3036	2	一层守卫	3	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3037	2	一层守卫	3	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3038	2	一层守卫	1	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3039	2	一层守卫	1	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3040	2	二层守卫	1	80	60000	0	100	600000	1	100000	脖子洗干净了吗？	
3041	2	二层守卫	1	90	90000	0	100	900000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3042	2	二层守卫	1	90	90000	0	100	900000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3043	2	二层守卫长	2	90	120000	0	100	3000000	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
3044	2	二层守卫	4	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3045	2	二层守卫	4	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3046	2	二层守卫	3	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3047	2	二层守卫	3	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3048	2	二层守卫	1	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3049	2	二层守卫	1	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3050	2	二层守卫	1	90	90000	0	100	900000	1	100000	脖子洗干净了吗？	
3051	2	三层守卫	1	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3052	2	三层守卫	1	100	135000	0	100	1350000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3053	2	三层守卫长	1	100	270000	0	100	45000000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
3054	2	三层守卫	2	100	135000	0	100	1350000	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
3055	2	三层守卫	4	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3056	2	三层守卫	4	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3057	2	三层守卫	3	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3058	2	三层守卫	3	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3059	2	三层守卫	1	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
3060	2	三层守卫	1	100	135000	0	100	1350000	1	100000	脖子洗干净了吗？	
4001	2	梵度大仙	1	120	60000	0	120	1600000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4002	2	梵度上仙	2	120	63000	0	120	1680000	1	100000	脖子洗干净了吗？	
4003	2	梵度功曹	3	120	66150	0	120	1764000	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4004	2	梵度天师	4	120	69458	0	120	1852200	1	100000	脖子洗干净了吗？	
4005	2	梵度星君	1	120	72930	0	120	1944810	1	100000	脖子洗干净了吗？	
4006	2	梵度真人	2	120	76577	0	120	2042050	1	100000	脖子洗干净了吗？	
4007	2	梵度老君	3	120	80406	0	120	2144153	1	100000	脖子洗干净了吗？	
4008	2	梵度真君	4	120	84426	0	120	2251361	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4009	2	梵度天王	1	120	88647	0	120	2363929	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4010	2	梵度元帅	2	120	93080	0	120	2482125	1	100000	不自量力的家伙，你是赶来送死的吗？	
4011	2	玉隆大仙	1	120	72000	0	120	1720000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4012	2	玉隆上仙	2	120	75600	0	120	1806000	1	100000	脖子洗干净了吗？	
4013	2	玉隆功曹	3	120	79380	0	120	1896300	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4014	2	玉隆天师	4	120	83349	0	120	1991115	1	100000	脖子洗干净了吗？	
4015	2	玉隆星君	1	120	87516	0	120	2090671	1	100000	脖子洗干净了吗？	
4016	2	玉隆真人	2	120	91892	0	120	2195204	1	100000	脖子洗干净了吗？	
4017	2	玉隆老君	3	120	96487	0	120	2304965	1	100000	脖子洗干净了吗？	
4018	2	玉隆真君	4	120	101311	0	120	2420213	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4019	2	玉隆天王	1	120	106377	0	120	2541223	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4020	2	玉隆元帅	2	120	111696	0	120	2668285	1	100000	不自量力的家伙，你是赶来送死的吗？	
4021	2	妙成大仙	1	120	84000	0	120	1840000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4022	2	妙成上仙	2	120	88200	0	120	1932000	1	100000	脖子洗干净了吗？	
4023	2	妙成功曹	3	120	92610	0	120	2028600	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4024	2	妙成天师	4	120	97240	0	120	2130030	1	100000	脖子洗干净了吗？	
4025	2	妙成星君	1	120	102103	0	120	2236532	1	100000	脖子洗干净了吗？	
4026	2	妙成真人	2	120	107208	0	120	2348358	1	100000	脖子洗干净了吗？	
4027	2	妙成老君	3	120	112568	0	120	2465776	1	100000	脖子洗干净了吗？	
4028	2	妙成真君	4	120	118196	0	120	2589065	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4029	2	妙成天王	1	120	124106	0	120	2718518	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4030	2	妙成元帅	2	120	130312	0	120	2854444	1	100000	不自量力的家伙，你是赶来送死的吗？	
4031	2	无思大仙	1	120	96000	0	120	1960000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4032	2	无思上仙	2	120	100800	0	120	2058000	1	100000	脖子洗干净了吗？	
4033	2	无思功曹	3	120	105840	0	120	2160900	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4034	2	无思天师	4	120	111132	0	120	2268945	1	100000	脖子洗干净了吗？	
4035	2	无思星君	1	120	116689	0	120	2382392	1	100000	脖子洗干净了吗？	
4036	2	无思真人	2	120	122523	0	120	2501512	1	100000	脖子洗干净了吗？	
4037	2	无思老君	3	120	128649	0	120	2626587	1	100000	脖子洗干净了吗？	
4038	2	无思真君	4	120	135082	0	120	2757917	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4039	2	无思天王	1	120	141836	0	120	2895813	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4040	2	无思元帅	2	120	148928	0	120	3040603	1	100000	不自量力的家伙，你是赶来送死的吗？	
4041	2	元载大仙	1	120	108000	0	120	2080000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4042	2	元载上仙	2	120	113400	0	120	2184000	1	100000	脖子洗干净了吗？	
4043	2	元载功曹	3	120	119070	0	120	2293200	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4044	2	元载天师	4	120	125024	0	120	2407860	1	100000	脖子洗干净了吗？	
4045	2	元载星君	1	120	131275	0	120	2528253	1	100000	脖子洗干净了吗？	
4046	2	元载真人	2	120	137838	0	120	2654666	1	100000	脖子洗干净了吗？	
4047	2	元载老君	3	120	144730	0	120	2787399	1	100000	脖子洗干净了吗？	
4048	2	元载真君	4	120	151967	0	120	2926769	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4049	2	元载天王	1	120	159565	0	120	3073107	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4050	2	元载元帅	2	120	167543	0	120	3226763	1	100000	不自量力的家伙，你是赶来送死的吗？	
4051	2	灵明大仙	1	120	120000	0	120	2200000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4052	2	灵明上仙	2	120	126000	0	120	2310000	1	100000	脖子洗干净了吗？	
4053	2	灵明功曹	3	120	132300	0	120	2425500	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4054	2	灵明天师	4	120	138915	0	120	2546775	1	100000	脖子洗干净了吗？	
4055	2	灵明星君	1	120	145861	0	120	2674114	1	100000	脖子洗干净了吗？	
4056	2	灵明真人	2	120	153154	0	120	2807819	1	100000	脖子洗干净了吗？	
4057	2	灵明老君	3	120	160811	0	120	2948210	1	100000	脖子洗干净了吗？	
4058	2	灵明真君	4	120	168852	0	120	3095621	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4059	2	灵明天王	1	120	177295	0	120	3250402	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4060	2	灵明元帅	2	120	186159	0	120	8126005	1	100000	不自量力的家伙，你是赶来送死的吗？	
4061	2	赤明大仙	1	120	132000	0	120	2320000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4062	2	赤明上仙	2	120	138600	0	120	2436000	1	100000	脖子洗干净了吗？	
4063	2	赤明功曹	3	120	145530	0	120	2557800	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4064	2	赤明天师	4	120	152806	0	120	2685690	1	100000	脖子洗干净了吗？	
4065	2	赤明星君	1	120	160447	0	120	2819974	1	100000	脖子洗干净了吗？	
4066	2	赤明真人	2	120	168469	0	120	2960973	1	100000	脖子洗干净了吗？	
4067	2	赤明老君	3	120	176893	0	120	3109022	1	100000	脖子洗干净了吗？	
4068	2	赤明真君	4	120	185737	0	120	3264473	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4069	2	赤明天王	1	120	195024	0	120	3427697	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4070	2	赤明元帅	2	120	204775	0	120	10283090	1	100000	不自量力的家伙，你是赶来送死的吗？	
4071	2	太安大仙	1	120	144000	0	120	2440000	1	100000	哈哈哈哈，来了个不要命的蝼蚁！	
4072	2	太安上仙	2	120	151200	0	120	2562000	1	100000	脖子洗干净了吗？	
4073	2	太安功曹	3	120	158760	0	120	2690100	1	100000	说吧，你打算在自己的墓碑上刻上什么字？	
4074	2	太安天师	4	120	166698	0	120	2824605	1	100000	脖子洗干净了吗？	
