level_XBXXZ	neednum_XBXXZ	damage_XBXXZ	defence_XBXXZ	maxhp_XBXXZ	bang_XBXXZ	dodge_XBXXZ	itemid_XBXXZ	text_XBXXZ
120	1					280	2863	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
121	1	290						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
122	1		290					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
123	1			2900				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
124	1				290			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
125	1					290		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
126	1	300						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
127	1		300					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
128	1			3000				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
129	1				300			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
130	1					300	2864	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
131	1	310						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
132	1		310					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
133	1			3100				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
134	1				310			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
135	1					310		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
136	1	320						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
137	1		320					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
138	1			3200				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
139	1				320			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
140	1					320	2865	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
141	1	330						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
142	1		330					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
143	1			3300				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
144	1				330			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
145	1					330		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
146	1	340						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
147	1		340					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
148	1			3400				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
149	1				340			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
150	1					340	2866	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
151	1	350						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
152	1		350					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
153	1			3500				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
154	1				350			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
155	1					350		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
156	1	360						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
157	1		360					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
158	1			3600				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
159	1				360			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
160	1					360	2867	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
161	1	370						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
162	1		370					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
163	1			3700				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
164	1				370			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
165	1					370		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
166	1	380						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
167	1		380					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
168	1			3800				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
169	1				380			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
170	1					380	2868	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
171	1	390						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
172	1		390					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
173	1			3900				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
174	1				390			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
175	1					390		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
176	1	400						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
177	1		400					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
178	1			4000				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
179	1				400			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
180	1					400	2869	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
181	2	410						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
182	2		410					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
183	2			4100				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
184	2				410			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
185	2					410		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
186	2	420						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
187	2		420					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
188	2			4200				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
189	2				420			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
190	2					420		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
191	2	430						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
192	2		430					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
193	2			4300				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
194	2				430			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
195	2					430	2937	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
196	2	440						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
197	2		440					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
198	2			4400				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
199	2				440			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
200	2					440		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
201	2	450						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
202	2		450					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
203	2			4500				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
204	2				450			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
205	2					450		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
206	2	460						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
207	2		460					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
208	2			4600				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
209	2				460			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
210	2					460	2938	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
211	2	470						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
212	2		470					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
213	2			4700				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
214	2				470			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
215	2					470		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
216	2	480						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
217	2		480					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
218	2			4800				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
219	2				480			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
220	2					480		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
221	2	490						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
222	2		490					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
223	2			4900				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
224	2				490			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
225	2					490	2939	茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}！同时领悟出了一套新的功法：《{4}》
226	2	500						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
227	2		500					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
228	2			5000				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
229	2				500			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
230	2					500		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
231	2	510						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
232	2		510					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
233	2			5100				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
234	2				510			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
235	2					510		茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
236	2	520						茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
237	2		520					茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
238	2			5200				茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
239	2				520			茶香渺渺，{0}道心清明，静心感悟天道。过往的战斗经历浮现脑海，经过一番感悟，{1}道心愈发坚定，战斗之道愈发精进，开始逐渐融汇贯通，在战斗大道上，略有收获！{2}增加了：{3}
