Level_XBXXZ	Name_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	show_XBXXZ	personpercent100_XBXXZ	personnum100_XBXXZ	personpercent1000_XBXXZ	personnum1000_XBXXZ	personpercent6000_XBXXZ	personnum6000_XBXXZ	persons_XBXXZ
56	56级洗髓池	70200	56160	87000	0.065	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;48,10;49,10;88,10;89,10;108,10;
57	57级洗髓池	72000	57600	89400	0.066	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;48,10;49,10;88,10;89,10;108,10;
58	58级洗髓池	73800	59040	91800	0.067	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;48,10;49,10;88,10;89,10;108,10;
59	59级洗髓池	75600	60480	94200	0.068	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;48,10;49,10;88,10;89,10;108,10;
60	60级洗髓池	77400	61920	96600	0.069	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;48,10;49,10;88,10;89,10;108,10;
61	61级洗髓池	79200	63360	99000	0.07	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
62	62级洗髓池	81000	64800	101400	0.071	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
63	63级洗髓池	82800	66240	103800	0.072	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
64	64级洗髓池	84600	67680	106200	0.0730000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
65	65级洗髓池	86400	69120	108600	0.0740000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
66	66级洗髓池	88200	70560	111000	0.0750000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
67	67级洗髓池	90000	72000	113400	0.0760000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
68	68级洗髓池	91800	73440	115800	0.0770000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
69	69级洗髓池	93600	74880	118200	0.0780000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
70	70级洗髓池	95400	76320	120600	0.0790000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;
71	71级洗髓池	97200	77760	123000	0.0800000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
72	72级洗髓池	99000	79200	125400	0.0810000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
73	73级洗髓池	100800	80640	127800	0.0820000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
74	74级洗髓池	102600	82080	130200	0.0830000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
75	75级洗髓池	104400	83520	132600	0.0840000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
76	76级洗髓池	106200	84960	135000	0.0850000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
77	77级洗髓池	108000	86400	137400	0.0860000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
78	78级洗髓池	109800	87840	139800	0.0870000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
79	79级洗髓池	111600	89280	142200	0.0880000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
80	80级洗髓池	113400	90720	144600	0.0890000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;110,10;
81	81级洗髓池	115200	92160	147000	0.0900000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
82	82级洗髓池	117000	93600	149400	0.0910000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
83	83级洗髓池	118800	95040	151800	0.0920000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
84	84级洗髓池	120600	96480	154200	0.0930000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
85	85级洗髓池	122400	97920	156600	0.0940000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
86	86级洗髓池	124200	99360	159000	0.0950000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
87	87级洗髓池	126000	100800	161400	0.0960000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
88	88级洗髓池	127800	102240	163800	0.0970000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
89	89级洗髓池	129600	103680	166200	0.0980000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
90	90级洗髓池	131400	105120	168600	0.0990000000000001	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;
91	91级洗髓池	133200	106560	171000	0.1	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
