Level_XBXXZ	Name_XBXXZ	Yield_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	Limit_XBXXZ	Time_XBXXZ
462	462级聚灵阵	15364	4148280	3595176	6360696	5531040	27720
463	463级聚灵阵	15444	4169880	3613896	6393816	5559840	27780
464	464级聚灵阵	15524	4191480	3632616	6426936	5588640	27840
465	465级聚灵阵	15604	4213080	3651336	6460056	5617440	27900
466	466级聚灵阵	15684	4234680	3670056	6493176	5646240	27960
467	467级聚灵阵	15764	4256280	3688776	6526296	5675040	28020
468	468级聚灵阵	15844	4277880	3707496	6559416	5703840	28080
469	469级聚灵阵	15924	4299480	3726216	6592536	5732640	28140
470	470级聚灵阵	16004	4321080	3744936	6625656	5761440	28200
471	471级聚灵阵	16084	4342680	3763656	6658776	5790240	28260
472	472级聚灵阵	16164	4364280	3782376	6691896	5819040	28320
473	473级聚灵阵	16244	4385880	3801096	6725016	5847840	28380
474	474级聚灵阵	16324	4407480	3819816	6758136	5876640	28440
475	475级聚灵阵	16404	4429080	3838536	6791256	5905440	28500
476	476级聚灵阵	16484	4450680	3857256	6824376	5934240	28560
477	477级聚灵阵	16564	4472280	3875976	6857496	5963040	28620
478	478级聚灵阵	16644	4493880	3894696	6890616	5991840	28680
479	479级聚灵阵	16724	4515480	3913416	6923736	6020640	28740
480	480级聚灵阵	16804	4537080	3932136	6956856	6049440	28800
481	481级聚灵阵	16884	4558680	3950856	6989976	6078240	28860
482	482级聚灵阵	16964	4580280	3969576	7023096	6107040	28920
483	483级聚灵阵	17044	4601880	3988296	7056216	6135840	28980
484	484级聚灵阵	17124	4623480	4007016	7089336	6164640	29040
485	485级聚灵阵	17204	4645080	4025736	7122456	6193440	29100
486	486级聚灵阵	17284	4666680	4044456	7155576	6222240	29160
487	487级聚灵阵	17364	4688280	4063176	7188696	6251040	29220
488	488级聚灵阵	17444	4709880	4081896	7221816	6279840	29280
489	489级聚灵阵	17524	4731480	4100616	7254936	6308640	29340
490	490级聚灵阵	17604	4753080	4119336	7288056	6337440	29400
491	491级聚灵阵	17684	4774680	4138056	7321176	6366240	29460
492	492级聚灵阵	17764	4796280	4156776	7354296	6395040	29520
493	493级聚灵阵	17844	4817880	4175496	7387416	6423840	29580
494	494级聚灵阵	17924	4839480	4194216	7420536	6452640	29640
495	495级聚灵阵	18004	4861080	4212936	7453656	6481440	29700
496	496级聚灵阵	18084	4882680	4231656	7486776	6510240	29760
497	497级聚灵阵	18164	4904280	4250376	7519896	6539040	29820
498	498级聚灵阵	18244	4925880	4269096	7553016	6567840	29880
499	499级聚灵阵	18324	4947480	4287816	7586136	6596640	29940
500	500级聚灵阵	18404	4969080	4306536	7619256	6625440	30000
501	501级聚灵阵	18494	5326272	4660488	7989408	6657840	30060
502	502级聚灵阵	18584	5352192	4683168	8028288	6690240	30120
503	503级聚灵阵	18674	5378112	4705848	8067168	6722640	30180
504	504级聚灵阵	18764	5404032	4728528	8106048	6755040	30240
505	505级聚灵阵	18854	5429952	4751208	8144928	6787440	30300
506	506级聚灵阵	18944	5455872	4773888	8183808	6819840	30360
507	507级聚灵阵	19034	5481792	4796568	8222688	6852240	30420
508	508级聚灵阵	19124	5507712	4819248	8261568	6884640	30480
509	509级聚灵阵	19214	5533632	4841928	8300448	6917040	30540
510	510级聚灵阵	19304	5559552	4864608	8339328	6949440	30600
511	511级聚灵阵	19394	5585472	4887288	8378208	6981840	30660
512	512级聚灵阵	19484	5611392	4909968	8417088	7014240	30720
513	513级聚灵阵	19574	5637312	4932648	8455968	7046640	30780
514	514级聚灵阵	19664	5663232	4955328	8494848	7079040	30840
515	515级聚灵阵	19754	5689152	4978008	8533728	7111440	30900
516	516级聚灵阵	19844	5715072	5000688	8572608	7143840	30960
517	517级聚灵阵	19934	5740992	5023368	8611488	7176240	31020
518	518级聚灵阵	20024	5766912	5046048	8650368	7208640	31080
519	519级聚灵阵	20114	5792832	5068728	8689248	7241040	31140
520	520级聚灵阵	20204	5818752	5091408	8728128	7273440	31200
521	521级聚灵阵	20294	5844672	5114088	8767008	7305840	31260
522	522级聚灵阵	20384	5870592	5136768	8805888	7338240	31320
523	523级聚灵阵	20474	5896512	5159448	8844768	7370640	31380
524	524级聚灵阵	20564	5922432	5182128	8883648	7403040	31440
525	525级聚灵阵	20654	5948352	5204808	8922528	7435440	31500
526	526级聚灵阵	20744	5974272	5227488	8961408	7467840	31560
527	527级聚灵阵	20834	6000192	5250168	9000288	7500240	31620
528	528级聚灵阵	20924	6026112	5272848	9039168	7532640	31680
529	529级聚灵阵	21014	6052032	5295528	9078048	7565040	31740
530	530级聚灵阵	21104	6077952	5318208	9116928	7597440	31800
531	531级聚灵阵	21194	6103872	5340888	9155808	7629840	31860
532	532级聚灵阵	21284	6129792	5363568	9194688	7662240	31920
533	533级聚灵阵	21374	6155712	5386248	9233568	7694640	31980
534	534级聚灵阵	21464	6181632	5408928	9272448	7727040	32040
535	535级聚灵阵	21554	6207552	5431608	9311328	7759440	32100
536	536级聚灵阵	21644	6233472	5454288	9350208	7791840	32160
537	537级聚灵阵	21734	6259392	5476968	9389088	7824240	32220
538	538级聚灵阵	21824	6285312	5499648	9427968	7856640	32280
539	539级聚灵阵	21914	6311232	5522328	9466848	7889040	32340
540	540级聚灵阵	22004	6337152	5545008	9505728	7921440	32400
541	541级聚灵阵	22094	6363072	5567688	9544608	7953840	32460
542	542级聚灵阵	22184	6388992	5590368	9583488	7986240	32520
543	543级聚灵阵	22274	6414912	5613048	9622368	8018640	32580
544	544级聚灵阵	22364	6440832	5635728	9661248	8051040	32640
545	545级聚灵阵	22454	6466752	5658408	9700128	8083440	32700
546	546级聚灵阵	22544	6492672	5681088	9739008	8115840	32760
547	547级聚灵阵	22634	6518592	5703768	9777888	8148240	32820
548	548级聚灵阵	22724	6544512	5726448	9816768	8180640	32880
549	549级聚灵阵	22814	6570432	5749128	9855648	8213040	32940
550	550级聚灵阵	22904	6596352	5771808	9894528	8245440	33000
551	551级聚灵阵	23004	7039224	6211080	10351800	8281440	33060
552	552级聚灵阵	23104	7069824	6238080	10396800	8317440	33120
553	553级聚灵阵	23204	7100424	6265080	10441800	8353440	33180
554	554级聚灵阵	23304	7131024	6292080	10486800	8389440	33240
555	555级聚灵阵	23404	7161624	6319080	10531800	8425440	33300
556	556级聚灵阵	23504	7192224	6346080	10576800	8461440	33360
557	557级聚灵阵	23604	7222824	6373080	10621800	8497440	33420
558	558级聚灵阵	23704	7253424	6400080	10666800	8533440	33480
559	559级聚灵阵	23804	7284024	6427080	10711800	8569440	33540
560	560级聚灵阵	23904	7314624	6454080	10756800	8605440	33600
561	561级聚灵阵	24004	7345224	6481080	10801800	8641440	33660
562	562级聚灵阵	24104	7375824	6508080	10846800	8677440	33720
563	563级聚灵阵	24204	7406424	6535080	10891800	8713440	33780
564	564级聚灵阵	24304	7437024	6562080	10936800	8749440	33840
565	565级聚灵阵	24404	7467624	6589080	10981800	8785440	33900
566	566级聚灵阵	24504	7498224	6616080	11026800	8821440	33960
567	567级聚灵阵	24604	7528824	6643080	11071800	8857440	34020
568	568级聚灵阵	24704	7559424	6670080	11116800	8893440	34080
569	569级聚灵阵	24804	7590024	6697080	11161800	8929440	34140
570	570级聚灵阵	24904	7620624	6724080	11206800	8965440	34200
571	571级聚灵阵	25004	7651224	6751080	11251800	9001440	34260
572	572级聚灵阵	25104	7681824	6778080	11296800	9037440	34320
573	573级聚灵阵	25204	7712424	6805080	11341800	9073440	34380
574	574级聚灵阵	25304	7743024	6832080	11386800	9109440	34440
575	575级聚灵阵	25404	7773624	6859080	11431800	9145440	34500
576	576级聚灵阵	25504	7804224	6886080	11476800	9181440	34560
577	577级聚灵阵	25604	7834824	6913080	11521800	9217440	34620
578	578级聚灵阵	25704	7865424	6940080	11566800	9253440	34680
579	579级聚灵阵	25804	7896024	6967080	11611800	9289440	34740
580	580级聚灵阵	25904	7926624	6994080	11656800	9325440	34800
581	581级聚灵阵	26004	7957224	7021080	11701800	9361440	34860
582	582级聚灵阵	26104	7987824	7048080	11746800	9397440	34920
583	583级聚灵阵	26204	8018424	7075080	11791800	9433440	34980
584	584级聚灵阵	26304	8049024	7102080	11836800	9469440	35040
585	585级聚灵阵	26404	8079624	7129080	11881800	9505440	35100
586	586级聚灵阵	26504	8110224	7156080	11926800	9541440	35160
587	587级聚灵阵	26604	8140824	7183080	11971800	9577440	35220
588	588级聚灵阵	26704	8171424	7210080	12016800	9613440	35280
589	589级聚灵阵	26804	8202024	7237080	12061800	9649440	35340
590	590级聚灵阵	26904	8232624	7264080	12106800	9685440	35400
591	591级聚灵阵	27004	8263224	7291080	12151800	9721440	35460
592	592级聚灵阵	27104	8293824	7318080	12196800	9757440	35520
593	593级聚灵阵	27204	8324424	7345080	12241800	9793440	35580
594	594级聚灵阵	27304	8355024	7372080	12286800	9829440	35640
595	595级聚灵阵	27404	8385624	7399080	12331800	9865440	35700
596	596级聚灵阵	27504	8416224	7426080	12376800	9901440	35760
597	597级聚灵阵	27604	8446824	7453080	12421800	9937440	35820
598	598级聚灵阵	27704	8477424	7480080	12466800	9973440	35880
599	599级聚灵阵	27804	8508024	7507080	12511800	10009440	35940
600	600级聚灵阵	27904	8538624	7534080	12556800	10045440	36000
601	601级聚灵阵	28024	9079776	8070912	13115232	10088640	36060
602	602级聚灵阵	28144	9118656	8105472	13171392	10131840	36120
603	603级聚灵阵	28264	9157536	8140032	13227552	10175040	36180
604	604级聚灵阵	28384	9196416	8174592	13283712	10218240	36240
605	605级聚灵阵	28504	9235296	8209152	13339872	10261440	36300
606	606级聚灵阵	28624	9274176	8243712	13396032	10304640	36360
607	607级聚灵阵	28744	9313056	8278272	13452192	10347840	36420
608	608级聚灵阵	28864	9351936	8312832	13508352	10391040	36480
609	609级聚灵阵	28984	9390816	8347392	13564512	10434240	36540
610	610级聚灵阵	29104	9429696	8381952	13620672	10477440	36600
611	611级聚灵阵	29224	9468576	8416512	13676832	10520640	36660
612	612级聚灵阵	29344	9507456	8451072	13732992	10563840	36720
613	613级聚灵阵	29464	9546336	8485632	13789152	10607040	36780
614	614级聚灵阵	29584	9585216	8520192	13845312	10650240	36840
615	615级聚灵阵	29704	9624096	8554752	13901472	10693440	36900
616	616级聚灵阵	29824	9662976	8589312	13957632	10736640	36960
617	617级聚灵阵	29944	9701856	8623872	14013792	10779840	37020
618	618级聚灵阵	30064	9740736	8658432	14069952	10823040	37080
619	619级聚灵阵	30184	9779616	8692992	14126112	10866240	37140
620	620级聚灵阵	30304	9818496	8727552	14182272	10909440	37200
621	621级聚灵阵	30424	9857376	8762112	14238432	10952640	37260
622	622级聚灵阵	30544	9896256	8796672	14294592	10995840	37320
623	623级聚灵阵	30664	9935136	8831232	14350752	11039040	37380
624	624级聚灵阵	30784	9974016	8865792	14406912	11082240	37440
625	625级聚灵阵	30904	10012896	8900352	14463072	11125440	37500
626	626级聚灵阵	31024	10051776	8934912	14519232	11168640	37560
627	627级聚灵阵	31144	10090656	8969472	14575392	11211840	37620
628	628级聚灵阵	31264	10129536	9004032	14631552	11255040	37680
629	629级聚灵阵	31384	10168416	9038592	14687712	11298240	37740
630	630级聚灵阵	31504	10207296	9073152	14743872	11341440	37800
631	631级聚灵阵	31624	10246176	9107712	14800032	11384640	37860
632	632级聚灵阵	31744	10285056	9142272	14856192	11427840	37920
633	633级聚灵阵	31864	10323936	9176832	14912352	11471040	37980
634	634级聚灵阵	31984	10362816	9211392	14968512	11514240	38040
635	635级聚灵阵	32104	10401696	9245952	15024672	11557440	38100
636	636级聚灵阵	32224	10440576	9280512	15080832	11600640	38160
637	637级聚灵阵	32344	10479456	9315072	15136992	11643840	38220
638	638级聚灵阵	32464	10518336	9349632	15193152	11687040	38280
639	639级聚灵阵	32584	10557216	9384192	15249312	11730240	38340
640	640级聚灵阵	32704	10596096	9418752	15305472	11773440	38400
641	641级聚灵阵	32824	10634976	9453312	15361632	11816640	38460
642	642级聚灵阵	32944	10673856	9487872	15417792	11859840	38520
643	643级聚灵阵	33064	10712736	9522432	15473952	11903040	38580
644	644级聚灵阵	33184	10751616	9556992	15530112	11946240	38640
645	645级聚灵阵	33304	10790496	9591552	15586272	11989440	38700
646	646级聚灵阵	33424	10829376	9626112	15642432	12032640	38760
647	647级聚灵阵	33544	10868256	9660672	15698592	12075840	38820
648	648级聚灵阵	33664	10907136	9695232	15754752	12119040	38880
649	649级聚灵阵	33784	10946016	9729792	15810912	12162240	38940
650	650级聚灵阵	33904	10984896	9764352	15867072	12205440	39000
651	651级聚灵阵	34024	11023776	9798912	15923232	12248640	39060
652	652级聚灵阵	34144	11062656	9833472	15979392	12291840	39120
653	653级聚灵阵	34244	10478664	9245880	15409800	12327840	39180
654	654级聚灵阵	34344	10509264	9272880	15454800	12363840	39240
655	655级聚灵阵	34444	10539864	9299880	15499800	12399840	39300
656	656级聚灵阵	34544	10570464	9326880	15544800	12435840	39360
657	657级聚灵阵	34644	10601064	9353880	15589800	12471840	39420
658	658级聚灵阵	34744	10631664	9380880	15634800	12507840	39480
659	659级聚灵阵	34844	10662264	9407880	15679800	12543840	39540
660	660级聚灵阵	34944	10692864	9434880	15724800	12579840	39600
661	661级聚灵阵	35044	10723464	9461880	15769800	12615840	39660
662	662级聚灵阵	35144	10754064	9488880	15814800	12651840	39720
663	663级聚灵阵	35244	10784664	9515880	15859800	12687840	39780
664	664级聚灵阵	35344	10815264	9542880	15904800	12723840	39840
665	665级聚灵阵	35444	10845864	9569880	15949800	12759840	39900
666	666级聚灵阵	35544	10876464	9596880	15994800	12795840	39960
667	667级聚灵阵	35644	10907064	9623880	16039800	12831840	40020
668	668级聚灵阵	35744	10937664	9650880	16084800	12867840	40080
669	669级聚灵阵	35844	10968264	9677880	16129800	12903840	40140
670	670级聚灵阵	35944	10998864	9704880	16174800	12939840	40200
671	671级聚灵阵	36044	11029464	9731880	16219800	12975840	40260
672	672级聚灵阵	36144	11060064	9758880	16264800	13011840	40320
673	673级聚灵阵	36244	11090664	9785880	16309800	13047840	40380
674	674级聚灵阵	36344	11121264	9812880	16354800	13083840	40440
675	675级聚灵阵	36444	11151864	9839880	16399800	13119840	40500
676	676级聚灵阵	36544	11182464	9866880	16444800	13155840	40560
677	677级聚灵阵	36644	11213064	9893880	16489800	13191840	40620
678	678级聚灵阵	36744	11243664	9920880	16534800	13227840	40680
679	679级聚灵阵	36844	11274264	9947880	16579800	13263840	40740
680	680级聚灵阵	36944	11304864	9974880	16624800	13299840	40800
681	681级聚灵阵	37044	11335464	10001880	16669800	13335840	40860
682	682级聚灵阵	37144	11366064	10028880	16714800	13371840	40920
683	683级聚灵阵	37244	11396664	10055880	16759800	13407840	40980
684	684级聚灵阵	37344	11427264	10082880	16804800	13443840	41040
685	685级聚灵阵	37444	11457864	10109880	16849800	13479840	41100
686	686级聚灵阵	37544	11488464	10136880	16894800	13515840	41160
687	687级聚灵阵	37644	11519064	10163880	16939800	13551840	41220
688	688级聚灵阵	37744	11549664	10190880	16984800	13587840	41280
689	689级聚灵阵	37844	11580264	10217880	17029800	13623840	41340
690	690级聚灵阵	37944	11610864	10244880	17074800	13659840	41400
691	691级聚灵阵	38044	11641464	10271880	17119800	13695840	41460
692	692级聚灵阵	38144	11672064	10298880	17164800	13731840	41520
693	693级聚灵阵	38244	11702664	10325880	17209800	13767840	41580
694	694级聚灵阵	38344	11733264	10352880	17254800	13803840	41640
695	695级聚灵阵	38444	11763864	10379880	17299800	13839840	41700
696	696级聚灵阵	38544	11794464	10406880	17344800	13875840	41760
697	697级聚灵阵	38644	11825064	10433880	17389800	13911840	41820
698	698级聚灵阵	38744	11855664	10460880	17434800	13947840	41880
699	699级聚灵阵	38844	11886264	10487880	17479800	13983840	41940
700	700级聚灵阵	38944	11916864	10514880	17524800	14019840	42000
701	701级聚灵阵	39064	12656736	11250432	18281952	14063040	42060
702	702级聚灵阵	39184	12695616	11284992	18338112	14106240	42120
703	703级聚灵阵	39304	12734496	11319552	18394272	14149440	42180
704	704级聚灵阵	39424	12773376	11354112	18450432	14192640	42240
705	705级聚灵阵	39544	12812256	11388672	18506592	14235840	42300
706	706级聚灵阵	39664	12851136	11423232	18562752	14279040	42360
707	707级聚灵阵	39784	12890016	11457792	18618912	14322240	42420
708	708级聚灵阵	39904	12928896	11492352	18675072	14365440	42480
709	709级聚灵阵	40024	12967776	11526912	18731232	14408640	42540
710	710级聚灵阵	40144	13006656	11561472	18787392	14451840	42600
711	711级聚灵阵	40264	13045536	11596032	18843552	14495040	42660
712	712级聚灵阵	40384	13084416	11630592	18899712	14538240	42720
713	713级聚灵阵	40504	13123296	11665152	18955872	14581440	42780
714	714级聚灵阵	40624	13162176	11699712	19012032	14624640	42840
715	715级聚灵阵	40744	13201056	11734272	19068192	14667840	42900
716	716级聚灵阵	40864	13239936	11768832	19124352	14711040	42960
717	717级聚灵阵	40984	13278816	11803392	19180512	14754240	43020
718	718级聚灵阵	41104	13317696	11837952	19236672	14797440	43080
719	719级聚灵阵	41224	13356576	11872512	19292832	14840640	43140
720	720级聚灵阵	41344	13395456	11907072	19348992	14883840	43200
721	721级聚灵阵	41464	13434336	11941632	19405152	14927040	43260
722	722级聚灵阵	41584	13473216	11976192	19461312	14970240	43320
723	723级聚灵阵	41704	13512096	12010752	19517472	15013440	43380
724	724级聚灵阵	41824	13550976	12045312	19573632	15056640	43440
725	725级聚灵阵	41944	13589856	12079872	19629792	15099840	43500
726	726级聚灵阵	42064	13628736	12114432	19685952	15143040	43560
727	727级聚灵阵	42184	13667616	12148992	19742112	15186240	43620
728	728级聚灵阵	42304	13706496	12183552	19798272	15229440	43680
729	729级聚灵阵	42424	13745376	12218112	19854432	15272640	43740
730	730级聚灵阵	42544	13784256	12252672	19910592	15315840	43800
731	731级聚灵阵	42664	13823136	12287232	19966752	15359040	43860
732	732级聚灵阵	42784	13862016	12321792	20022912	15402240	43920
733	733级聚灵阵	42904	13900896	12356352	20079072	15445440	43980
734	734级聚灵阵	43024	13939776	12390912	20135232	15488640	44040
735	735级聚灵阵	43144	13978656	12425472	20191392	15531840	44100
736	736级聚灵阵	43264	14017536	12460032	20247552	15575040	44160
737	737级聚灵阵	43384	14056416	12494592	20303712	15618240	44220
738	738级聚灵阵	43504	14095296	12529152	20359872	15661440	44280
739	739级聚灵阵	43624	14134176	12563712	20416032	15704640	44340
740	740级聚灵阵	43744	14173056	12598272	20472192	15747840	44400
741	741级聚灵阵	43864	14211936	12632832	20528352	15791040	44460
742	742级聚灵阵	43984	14250816	12667392	20584512	15834240	44520
743	743级聚灵阵	44104	14289696	12701952	20640672	15877440	44580
744	744级聚灵阵	44224	14328576	12736512	20696832	15920640	44640
745	745级聚灵阵	44344	14367456	12771072	20752992	15963840	44700
746	746级聚灵阵	44464	14406336	12805632	20809152	16007040	44760
747	747级聚灵阵	44584	14445216	12840192	20865312	16050240	44820
748	748级聚灵阵	44704	14484096	12874752	20921472	16093440	44880
749	749级聚灵阵	44824	14522976	12909312	20977632	16136640	44940
750	750级聚灵阵	44944	14561856	12943872	21033792	16179840	45000
751	751级聚灵阵	45084	15418728	13795704	21910824	16230240	45060
752	752级聚灵阵	45224	15466608	13838544	21978864	16280640	45120
753	753级聚灵阵	45364	15514488	13881384	22046904	16331040	45180
754	754级聚灵阵	45504	15562368	13924224	22114944	16381440	45240
755	755级聚灵阵	45644	15610248	13967064	22182984	16431840	45300
756	756级聚灵阵	45784	15658128	14009904	22251024	16482240	45360
757	757级聚灵阵	45924	15706008	14052744	22319064	16532640	45420
758	758级聚灵阵	46064	15753888	14095584	22387104	16583040	45480
759	759级聚灵阵	46204	15801768	14138424	22455144	16633440	45540
760	760级聚灵阵	46344	15849648	14181264	22523184	16683840	45600
761	761级聚灵阵	46484	15897528	14224104	22591224	16734240	45660
762	762级聚灵阵	46624	15945408	14266944	22659264	16784640	45720
763	763级聚灵阵	46764	15993288	14309784	22727304	16835040	45780
764	764级聚灵阵	46904	16041168	14352624	22795344	16885440	45840
765	765级聚灵阵	47044	16089048	14395464	22863384	16935840	45900
766	766级聚灵阵	47184	16136928	14438304	22931424	16986240	45960
767	767级聚灵阵	47324	16184808	14481144	22999464	17036640	46020
768	768级聚灵阵	47464	16232688	14523984	23067504	17087040	46080
769	769级聚灵阵	47604	16280568	14566824	23135544	17137440	46140
770	770级聚灵阵	47744	16328448	14609664	23203584	17187840	46200
771	771级聚灵阵	47884	16376328	14652504	23271624	17238240	46260
772	772级聚灵阵	48024	16424208	14695344	23339664	17288640	46320
773	773级聚灵阵	48164	16472088	14738184	23407704	17339040	46380
774	774级聚灵阵	48304	16519968	14781024	23475744	17389440	46440
775	775级聚灵阵	48444	16567848	14823864	23543784	17439840	46500
776	776级聚灵阵	48584	16615728	14866704	23611824	17490240	46560
777	777级聚灵阵	48724	16663608	14909544	23679864	17540640	46620
778	778级聚灵阵	48864	16711488	14952384	23747904	17591040	46680
779	779级聚灵阵	49004	16759368	14995224	23815944	17641440	46740
780	780级聚灵阵	49144	16807248	15038064	23883984	17691840	46800
781	781级聚灵阵	49284	16855128	15080904	23952024	17742240	46860
782	782级聚灵阵	49424	16903008	15123744	24020064	17792640	46920
783	783级聚灵阵	49564	16950888	15166584	24088104	17843040	46980
784	784级聚灵阵	49704	16998768	15209424	24156144	17893440	47040
785	785级聚灵阵	49844	17046648	15252264	24224184	17943840	47100
786	786级聚灵阵	49984	17094528	15295104	24292224	17994240	47160
787	787级聚灵阵	50124	17142408	15337944	24360264	18044640	47220
788	788级聚灵阵	50264	17190288	15380784	24428304	18095040	47280
789	789级聚灵阵	50404	17238168	15423624	24496344	18145440	47340
790	790级聚灵阵	50544	17286048	15466464	24564384	18195840	47400
791	791级聚灵阵	50684	17333928	15509304	24632424	18246240	47460
792	792级聚灵阵	50824	17381808	15552144	24700464	18296640	47520
793	793级聚灵阵	50964	17429688	15594984	24768504	18347040	47580
794	794级聚灵阵	51104	17477568	15637824	24836544	18397440	47640
795	795级聚灵阵	51244	17525448	15680664	24904584	18447840	47700
796	796级聚灵阵	51384	17573328	15723504	24972624	18498240	47760
797	797级聚灵阵	51524	17621208	15766344	25040664	18548640	47820
798	798级聚灵阵	51664	17669088	15809184	25108704	18599040	47880
799	799级聚灵阵	51804	17716968	15852024	25176744	18649440	47940
800	800级聚灵阵	51944	17764848	15894864	25244784	18699840	48000
801	801级聚灵阵	52104	18757440	16881696	26260416	18757440	48060
802	802级聚灵阵	52264	18815040	16933536	26341056	18815040	48120
803	803级聚灵阵	52424	18872640	16985376	26421696	18872640	48180
804	804级聚灵阵	52584	18930240	17037216	26502336	18930240	48240
805	805级聚灵阵	52744	18987840	17089056	26582976	18987840	48300
806	806级聚灵阵	52904	19045440	17140896	26663616	19045440	48360
807	807级聚灵阵	53064	19103040	17192736	26744256	19103040	48420
808	808级聚灵阵	53224	19160640	17244576	26824896	19160640	48480
809	809级聚灵阵	53384	19218240	17296416	26905536	19218240	48540
810	810级聚灵阵	53544	19275840	17348256	26986176	19275840	48600
811	811级聚灵阵	53704	19333440	17400096	27066816	19333440	48660
812	812级聚灵阵	53864	19391040	17451936	27147456	19391040	48720
813	813级聚灵阵	54024	19448640	17503776	27228096	19448640	48780
814	814级聚灵阵	54184	19506240	17555616	27308736	19506240	48840
815	815级聚灵阵	54344	19563840	17607456	27389376	19563840	48900
816	816级聚灵阵	54504	19621440	17659296	27470016	19621440	48960
817	817级聚灵阵	54664	19679040	17711136	27550656	19679040	49020
818	818级聚灵阵	54824	19736640	17762976	27631296	19736640	49080
819	819级聚灵阵	54984	19794240	17814816	27711936	19794240	49140
820	820级聚灵阵	55144	19851840	17866656	27792576	19851840	49200
821	821级聚灵阵	55304	19909440	17918496	27873216	19909440	49260
822	822级聚灵阵	55464	19967040	17970336	27953856	19967040	49320
823	823级聚灵阵	55624	20024640	18022176	28034496	20024640	49380
824	824级聚灵阵	55784	20082240	18074016	28115136	20082240	49440
825	825级聚灵阵	55944	20139840	18125856	28195776	20139840	49500
826	826级聚灵阵	56104	20197440	18177696	28276416	20197440	49560
827	827级聚灵阵	56264	20255040	18229536	28357056	20255040	49620
828	828级聚灵阵	56424	20312640	18281376	28437696	20312640	49680
829	829级聚灵阵	56584	20370240	18333216	28518336	20370240	49740
830	830级聚灵阵	56744	20427840	18385056	28598976	20427840	49800
831	831级聚灵阵	56904	20485440	18436896	28679616	20485440	49860
832	832级聚灵阵	57064	20543040	18488736	28760256	20543040	49920
833	833级聚灵阵	57224	20600640	18540576	28840896	20600640	49980
834	834级聚灵阵	57384	20658240	18592416	28921536	20658240	50040
835	835级聚灵阵	57544	20715840	18644256	29002176	20715840	50100
836	836级聚灵阵	57704	20773440	18696096	29082816	20773440	50160
837	837级聚灵阵	57864	20831040	18747936	29163456	20831040	50220
838	838级聚灵阵	58024	20888640	18799776	29244096	20888640	50280
839	839级聚灵阵	58184	20946240	18851616	29324736	20946240	50340
840	840级聚灵阵	58344	21003840	18903456	29405376	21003840	50400
841	841级聚灵阵	58504	21061440	18955296	29486016	21061440	50460
842	842级聚灵阵	58664	21119040	19007136	29566656	21119040	50520
843	843级聚灵阵	58824	21176640	19058976	29647296	21176640	50580
844	844级聚灵阵	58984	21234240	19110816	29727936	21234240	50640
845	845级聚灵阵	59144	21291840	19162656	29808576	21291840	50700
846	846级聚灵阵	59304	21349440	19214496	29889216	21349440	50760
847	847级聚灵阵	59464	21407040	19266336	29969856	21407040	50820
848	848级聚灵阵	59624	21464640	19318176	30050496	21464640	50880
849	849级聚灵阵	59784	21522240	19370016	30131136	21522240	50940
850	850级聚灵阵	59944	21579840	19421856	30211776	21579840	51000
851	851级聚灵阵	60124	23809104	21644640	32466960	21644640	51060
852	852级聚灵阵	60304	23880384	21709440	32564160	21709440	51120
853	853级聚灵阵	60484	23951664	21774240	32661360	21774240	51180
854	854级聚灵阵	60664	24022944	21839040	32758560	21839040	51240
855	855级聚灵阵	60844	24094224	21903840	32855760	21903840	51300
856	856级聚灵阵	61024	24165504	21968640	32952960	21968640	51360
857	857级聚灵阵	61204	24236784	22033440	33050160	22033440	51420
858	858级聚灵阵	61384	24308064	22098240	33147360	22098240	51480
859	859级聚灵阵	61564	24379344	22163040	33244560	22163040	51540
860	860级聚灵阵	61744	24450624	22227840	33341760	22227840	51600
861	861级聚灵阵	61924	24521904	22292640	33438960	22292640	51660
862	862级聚灵阵	62104	24593184	22357440	33536160	22357440	51720
863	863级聚灵阵	62284	24664464	22422240	33633360	22422240	51780
864	864级聚灵阵	62464	24735744	22487040	33730560	22487040	51840
865	865级聚灵阵	62644	24807024	22551840	33827760	22551840	51900
866	866级聚灵阵	62824	24878304	22616640	33924960	22616640	51960
867	867级聚灵阵	63004	24949584	22681440	34022160	22681440	52020
868	868级聚灵阵	63184	25020864	22746240	34119360	22746240	52080
869	869级聚灵阵	63364	25092144	22811040	34216560	22811040	52140
870	870级聚灵阵	63544	25163424	22875840	34313760	22875840	52200
871	871级聚灵阵	63724	25234704	22940640	34410960	22940640	52260
872	872级聚灵阵	63904	25305984	23005440	34508160	23005440	52320
873	873级聚灵阵	64084	25377264	23070240	34605360	23070240	52380
874	874级聚灵阵	64264	25448544	23135040	34702560	23135040	52440
875	875级聚灵阵	64444	25519824	23199840	34799760	23199840	52500
876	876级聚灵阵	64624	25591104	23264640	34896960	23264640	52560
877	877级聚灵阵	64804	25662384	23329440	34994160	23329440	52620
878	878级聚灵阵	64984	25733664	23394240	35091360	23394240	52680
879	879级聚灵阵	65164	25804944	23459040	35188560	23459040	52740
880	880级聚灵阵	65344	25876224	23523840	35285760	23523840	52800
881	881级聚灵阵	65524	25947504	23588640	35382960	23588640	52860
882	882级聚灵阵	65704	26018784	23653440	35480160	23653440	52920
